"时间", "平台", "定单ID", "日志类型", "价格", "数量", "消息"
2018-02-05 06:00:00,,,信息,,,波段量化交易策略启动...
2018-02-05 06:00:00,,,信息,,,开始执行主事务程序...
2018-02-05 06:00:00,,,信息,,,当前EMA交叉数 5 ，持仓量 0 ，币价 0.139006 ，价格没有上涨到卖出点，继续观察行情...
2018-02-05 06:29:00,,,信息,,,当前EMA交叉数 5 ，持仓量 0 ，币价 0.138978 ，价格没有上涨到卖出点，继续观察行情...
2018-02-05 06:46:00,,,信息,,,当前EMA交叉数 5 ，持仓量 0 ，币价 0.1391936 ，价格没有上涨到卖出点，继续观察行情...
2018-02-05 07:02:00,,,信息,,,当前EMA交叉数 6 ，持仓量 0 ，币价 0.139003 ，价格没有上涨到卖出点，继续观察行情...
2018-02-05 07:18:00,,,信息,,,当前EMA交叉数 6 ，持仓量 0 ，币价 0.1398378 ，价格没有上涨到卖出点，继续观察行情...
2018-02-05 07:41:27,,,信息,,,当前EMA交叉数 6 ，持仓量 0 ，币价 0.140189 ，价格没有上涨到卖出点，继续观察行情...
2018-02-05 07:59:00,,,信息,,,当前EMA交叉数 6 ，持仓量 0 ，币价 0.141215 ，价格没有上涨到卖出点，继续观察行情...
2018-02-05 08:16:00,,,信息,,,当前EMA交叉数 7 ，持仓量 0 ，币价 0.1400186 ，价格没有上涨到卖出点，继续观察行情...
2018-02-05 08:32:00,,,信息,,,当前EMA交叉数 7 ，持仓量 0 ，币价 0.1395507 ，价格没有上涨到卖出点，继续观察行情...
2018-02-05 08:48:00,,,信息,,,当前EMA交叉数 7 ，持仓量 0 ，币价 0.139236 ，价格没有上涨到卖出点，继续观察行情...
2018-02-05 09:04:00,,,信息,,,当前EMA交叉数 8 ，持仓量 0 ，币价 0.1392535 ，价格没有上涨到卖出点，继续观察行情...
2018-02-05 09:23:00,,,信息,,,当前EMA交叉数 8 ，持仓量 0 ，币价 0.137897 ，价格没有上涨到卖出点，继续观察行情...
2018-02-05 09:40:00,,,信息,,,当前EMA交叉数 8 ，持仓量 0 ，币价 0.137899 ，价格没有上涨到卖出点，继续观察行情...
2018-02-05 09:57:00,,,信息,,,当前EMA交叉数 8 ，持仓量 0 ，币价 0.137357 ，价格没有上涨到卖出点，继续观察行情...
2018-02-05 10:16:00,,,信息,,,当前EMA交叉数 9 ，持仓量 0 ，币价 0.136957 ，价格没有上涨到卖出点，继续观察行情...
2018-02-05 10:32:00,,,信息,,,当前EMA交叉数 9 ，持仓量 0 ，币价 0.1363752 ，价格没有上涨到卖出点，继续观察行情...
2018-02-05 10:48:00,,,信息,,,当前EMA交叉数 9 ，持仓量 0 ，币价 0.1371674 ，价格没有上涨到卖出点，继续观察行情...
2018-02-05 11:18:32,,,信息,,,当前EMA交叉数 10 ，持仓量 0 ，币价 0.138636 ，价格没有上涨到卖出点，继续观察行情...
2018-02-05 11:34:00,,,信息,,,当前EMA交叉数 10 ，持仓量 0 ，币价 0.138563 ，价格没有上涨到卖出点，继续观察行情...
2018-02-05 11:53:00,,,信息,,,当前EMA交叉数 10 ，持仓量 0 ，币价 0.137726 ，价格没有上涨到卖出点，继续观察行情...
2018-02-05 12:10:00,,,信息,,,当前EMA交叉数 11 ，持仓量 0 ，币价 0.137928 ，价格没有上涨到卖出点，继续观察行情...
2018-02-05 12:27:00,,,信息,,,当前EMA交叉数 11 ，持仓量 0 ，币价 0.1375115 ，价格没有上涨到卖出点，继续观察行情...
2018-02-05 12:46:00,,,信息,,,当前EMA交叉数 11 ，持仓量 0 ，币价 0.137213 ，价格没有上涨到卖出点，继续观察行情...
2018-02-05 13:02:00,,,信息,,,当前EMA交叉数 12 ，持仓量 0 ，币价 0.1374057 ，价格没有上涨到卖出点，继续观察行情...
2018-02-05 13:18:00,,,信息,,,当前EMA交叉数 12 ，持仓量 0 ，币价 0.1369578 ，价格没有上涨到卖出点，继续观察行情...
2018-02-05 13:34:00,,,信息,,,当前EMA交叉数 12 ，持仓量 0 ，币价 0.1370635 ，价格没有上涨到卖出点，继续观察行情...
2018-02-05 13:53:00,,,信息,,,当前EMA交叉数 12 ，持仓量 0 ，币价 0.136089 ，价格没有上涨到卖出点，继续观察行情...
2018-02-05 14:10:00,,,信息,,,当前EMA交叉数 13 ，持仓量 0 ，币价 0.136877 ，价格没有上涨到卖出点，继续观察行情...
2018-02-05 14:27:00,,,信息,,,当前EMA交叉数 13 ，持仓量 0 ，币价 0.1365795 ，价格没有上涨到卖出点，继续观察行情...
2018-02-05 14:46:00,,,信息,,,当前EMA交叉数 13 ，持仓量 0 ，币价 0.1368946 ，价格没有上涨到卖出点，继续观察行情...
2018-02-05 15:18:32,,,信息,,,当前EMA交叉数 -1 ，持仓量 0 ，币价 0.135015 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 15:34:00,,,信息,,,当前EMA交叉数 -1 ，持仓量 0 ，币价 0.1352445 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 15:53:00,,,信息,,,当前EMA交叉数 -1 ，持仓量 0 ，币价 0.134573 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 16:10:00,,,信息,,,当前EMA交叉数 -2 ，持仓量 0 ，币价 0.1341163 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 16:27:00,,,信息,,,当前EMA交叉数 -2 ，持仓量 0 ，币价 0.1347955 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 16:59:00,,,信息,,,当前EMA交叉数 -2 ，持仓量 0 ，币价 0.13376 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 17:16:00,,,信息,,,当前EMA交叉数 -3 ，持仓量 0 ，币价 0.1327553 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 17:32:00,,,信息,,,当前EMA交叉数 -3 ，持仓量 0 ，币价 0.1329777 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 17:48:00,,,信息,,,当前EMA交叉数 -3 ，持仓量 0 ，币价 0.1334758 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 18:04:00,,,信息,,,当前EMA交叉数 -4 ，持仓量 0 ，币价 0.133338 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 18:23:00,,,信息,,,当前EMA交叉数 -4 ，持仓量 0 ，币价 0.132081 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 18:40:00,,,信息,,,当前EMA交叉数 -4 ，持仓量 0 ，币价 0.132187 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 18:57:00,,,信息,,,当前EMA交叉数 -4 ，持仓量 0 ，币价 0.1316595 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 19:02:00,,,信息,,,准备以大约 0.1311978 的市价买入约 4.911286622184214 个币，当前账户余额为： 50 。
2018-02-05 19:02:00,Huobi,1,买入,市价,0.64435,
2018-02-05 19:02:00,,,信息,,,订单发送成功，订单编号： 1
2018-02-05 19:04:00,,,信息,,,订单 1 买入交易已经成功!成交均价： 0.1311978 ，挂单买入： 0.6443 ，买到数量： 4.901
2018-02-05 19:04:00,,,信息,,,当前买入后可有币数 4.901 ，持币均价 0.13146 ，持币成本 0.644286
2018-02-05 19:16:00,,,信息,,,当前EMA交叉数 -5 ，持仓量 4.901 ，币价 0.1319366 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 19:41:27,,,信息,,,当前EMA交叉数 -5 ，持仓量 4.901 ，币价 0.13225 ，价格没有下跌到买入点，继续观察行情...
