"时间", "平台", "定单ID", "日志类型", "价格", "数量", "消息"
2018-02-04 09:54:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.1394035 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 10:12:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.138884 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 10:32:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.1398393 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 10:50:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.1401925 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 11:22:55,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.140708 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 11:58:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.138082 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 12:22:55,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.137356 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 12:58:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.138378 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 13:58:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.137101 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 14:20:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.1373886 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 14:36:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.1377956 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 14:54:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.138194 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 15:12:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.138055 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 15:32:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.1387496 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 15:50:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.1385705 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 16:08:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.138137 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 16:24:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.1382534 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 16:46:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.139283 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 17:04:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.138725 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 17:20:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.1375156 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 17:36:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.1364082 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 17:54:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.134998 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 18:12:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.136162 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 18:32:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.1350133 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 18:50:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.1347225 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 19:08:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.1347705 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 19:24:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.1352653 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 19:46:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.136754 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 20:04:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.1363365 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 20:20:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.135265 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 20:36:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.1343978 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 20:54:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.1338885 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 21:12:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.135697 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 21:32:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.1348256 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 21:50:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.1345715 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 22:08:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.134653 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 22:24:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.134194 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 22:46:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.132874 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 23:04:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.1329057 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 23:20:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.1341656 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 23:36:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.135199 ，价格没有下跌到买入点，继续观察行情...
2018-02-04 23:54:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.1361935 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 00:12:00,,,信息,,,当前EMA交叉数 -16 ，持仓量 0 ，币价 0.136648 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 00:32:00,,,信息,,,当前EMA交叉数 -16 ，持仓量 0 ，币价 0.1352986 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 00:50:00,,,信息,,,当前EMA交叉数 -16 ，持仓量 0 ，币价 0.135248 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 01:08:00,,,信息,,,当前EMA交叉数 -16 ，持仓量 0 ，币价 0.1350365 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 01:24:00,,,信息,,,当前EMA交叉数 -16 ，持仓量 0 ，币价 0.1353842 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 01:46:00,,,信息,,,当前EMA交叉数 -16 ，持仓量 0 ，币价 0.137494 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 02:04:00,,,信息,,,当前EMA交叉数 -16 ，持仓量 0 ，币价 0.136667 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 02:20:00,,,信息,,,当前EMA交叉数 -16 ，持仓量 0 ，币价 0.137281 ，价格没有下跌到买入点，继续观察行情...
2018-02-05 02:36:00,,,信息,,,当前EMA交叉数 -16 ，持仓量 0 ，币价 0.1379282 ，价格没有下跌到买入点，继续观察行情...
