"时间", "平台", "定单ID", "日志类型", "价格", "数量", "消息"
2018-01-15 00:00:00,,,信息,,,波段量化交易策略启动...
2018-01-15 00:00:00,,,信息,,,开始执行主事务程序...
2018-01-15 00:00:00,,,信息,,,当前EMA交叉数 26 ，持仓量 0 ，币价 0.188402 ，价格没有上涨到卖出点，继续观察行情...
2018-01-15 00:16:00,,,信息,,,当前EMA交叉数 26 ，持仓量 0 ，币价 0.1883923 ，价格没有上涨到卖出点，继续观察行情...
2018-01-15 00:32:00,,,信息,,,当前EMA交叉数 26 ，持仓量 0 ，币价 0.1875087 ，价格没有上涨到卖出点，继续观察行情...
2018-01-15 00:48:00,,,信息,,,当前EMA交叉数 26 ，持仓量 0 ，币价 0.1882668 ，价格没有上涨到卖出点，继续观察行情...
2018-01-15 01:04:00,,,信息,,,当前EMA交叉数 27 ，持仓量 0 ，币价 0.1883815 ，价格没有上涨到卖出点，继续观察行情...
2018-01-15 01:23:00,,,信息,,,当前EMA交叉数 27 ，持仓量 0 ，币价 0.187276 ，价格没有上涨到卖出点，继续观察行情...
2018-01-15 01:48:32,,,信息,,,当前EMA交叉数 -1 ，持仓量 0 ，币价 0.18598 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 02:04:00,,,信息,,,当前EMA交叉数 -2 ，持仓量 0 ，币价 0.18607 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 02:23:00,,,信息,,,当前EMA交叉数 -2 ，持仓量 0 ，币价 0.1875 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 02:40:00,,,信息,,,当前EMA交叉数 -2 ，持仓量 0 ，币价 0.187404 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 02:57:00,,,信息,,,当前EMA交叉数 -2 ，持仓量 0 ，币价 0.186952 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 03:18:32,,,信息,,,当前EMA交叉数 -3 ，持仓量 0 ，币价 0.186642 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 03:34:00,,,信息,,,当前EMA交叉数 -3 ，持仓量 0 ，币价 0.1871135 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 03:53:00,,,信息,,,当前EMA交叉数 -3 ，持仓量 0 ，币价 0.186628 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 04:10:00,,,信息,,,当前EMA交叉数 -4 ，持仓量 0 ，币价 0.1868153 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 04:27:00,,,信息,,,当前EMA交叉数 -4 ，持仓量 0 ，币价 0.1874525 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 04:46:00,,,信息,,,当前EMA交叉数 -4 ，持仓量 0 ，币价 0.187256 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 05:11:27,,,信息,,,当前EMA交叉数 -5 ，持仓量 0 ，币价 0.18765 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 05:29:00,,,信息,,,当前EMA交叉数 -5 ，持仓量 0 ，币价 0.185981 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 05:46:00,,,信息,,,当前EMA交叉数 -5 ，持仓量 0 ，币价 0.185544 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 06:02:00,,,信息,,,当前EMA交叉数 -6 ，持仓量 0 ，币价 0.1864155 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 06:18:00,,,信息,,,当前EMA交叉数 -6 ，持仓量 0 ，币价 0.1858068 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 06:48:32,,,信息,,,当前EMA交叉数 -6 ，持仓量 0 ，币价 0.186771 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 07:04:00,,,信息,,,当前EMA交叉数 -7 ，持仓量 0 ，币价 0.185964 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 07:23:00,,,信息,,,当前EMA交叉数 -7 ，持仓量 0 ，币价 0.184832 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 07:40:00,,,信息,,,当前EMA交叉数 -7 ，持仓量 0 ，币价 0.184924 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 07:57:00,,,信息,,,当前EMA交叉数 -7 ，持仓量 0 ，币价 0.1846035 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 08:16:00,,,信息,,,当前EMA交叉数 -8 ，持仓量 0 ，币价 0.1848973 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 08:32:00,,,信息,,,当前EMA交叉数 -8 ，持仓量 0 ，币价 0.1852405 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 08:48:00,,,信息,,,当前EMA交叉数 -8 ，持仓量 0 ，币价 0.1848454 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 09:04:00,,,信息,,,当前EMA交叉数 -9 ，持仓量 0 ，币价 0.185161 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 09:23:00,,,信息,,,当前EMA交叉数 -9 ，持仓量 0 ，币价 0.184609 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 09:41:27,,,信息,,,当前EMA交叉数 -9 ，持仓量 0 ，币价 0.185393 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 09:59:00,,,信息,,,当前EMA交叉数 -9 ，持仓量 0 ，币价 0.1838 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 10:16:00,,,信息,,,当前EMA交叉数 -10 ，持仓量 0 ，币价 0.1843813 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 10:32:00,,,信息,,,当前EMA交叉数 -10 ，持仓量 0 ，币价 0.1840712 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 10:48:00,,,信息,,,当前EMA交叉数 -10 ，持仓量 0 ，币价 0.1844802 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 11:04:00,,,信息,,,当前EMA交叉数 -11 ，持仓量 0 ，币价 0.1843825 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 11:23:00,,,信息,,,当前EMA交叉数 -11 ，持仓量 0 ，币价 0.185219 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 11:41:27,,,信息,,,当前EMA交叉数 -11 ，持仓量 0 ，币价 0.184877 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 11:59:00,,,信息,,,当前EMA交叉数 -11 ，持仓量 0 ，币价 0.183516 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 12:16:00,,,信息,,,当前EMA交叉数 -12 ，持仓量 0 ，币价 0.1844616 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 12:32:00,,,信息,,,当前EMA交叉数 -12 ，持仓量 0 ，币价 0.1849487 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 12:48:00,,,信息,,,当前EMA交叉数 -12 ，持仓量 0 ，币价 0.1843312 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 13:04:00,,,信息,,,当前EMA交叉数 -13 ，持仓量 0 ，币价 0.183892 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 13:23:00,,,信息,,,当前EMA交叉数 -13 ，持仓量 0 ，币价 0.184698 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 13:40:00,,,信息,,,当前EMA交叉数 -13 ，持仓量 0 ，币价 0.184457 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 13:57:00,,,信息,,,当前EMA交叉数 -13 ，持仓量 0 ，币价 0.184035 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 14:16:00,,,信息,,,当前EMA交叉数 -14 ，持仓量 0 ，币价 0.183377 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 14:48:32,,,信息,,,当前EMA交叉数 -14 ，持仓量 0 ，币价 0.184528 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 15:04:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.183726 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 15:23:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.184874 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 15:40:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.1835543 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 15:57:00,,,信息,,,当前EMA交叉数 -15 ，持仓量 0 ，币价 0.182412 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 16:16:00,,,信息,,,当前EMA交叉数 -16 ，持仓量 0 ，币价 0.1832283 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 16:32:00,,,信息,,,当前EMA交叉数 -16 ，持仓量 0 ，币价 0.1831197 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 16:48:00,,,信息,,,当前EMA交叉数 -16 ，持仓量 0 ，币价 0.1813222 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 17:04:00,,,信息,,,当前EMA交叉数 -17 ，持仓量 0 ，币价 0.181436 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 17:23:00,,,信息,,,当前EMA交叉数 -17 ，持仓量 0 ，币价 0.180728 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 17:40:00,,,信息,,,当前EMA交叉数 -17 ，持仓量 0 ，币价 0.180776 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 17:57:00,,,信息,,,当前EMA交叉数 -17 ，持仓量 0 ，币价 0.17984 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 18:16:00,,,信息,,,当前EMA交叉数 -18 ，持仓量 0 ，币价 0.177446 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 18:32:00,,,信息,,,当前EMA交叉数 -18 ，持仓量 0 ，币价 0.1781875 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 18:48:00,,,信息,,,当前EMA交叉数 -18 ，持仓量 0 ，币价 0.1751016 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 19:04:00,,,信息,,,当前EMA交叉数 -19 ，持仓量 0 ，币价 0.1762605 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 19:23:00,,,信息,,,当前EMA交叉数 -19 ，持仓量 0 ，币价 0.1588 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 19:40:00,,,信息,,,准备以大约 0.1491047 的市价买入约 13.391931977999352 个币，当前账户余额为： 50 。
2018-01-15 19:40:00,Huobi,1,买入,市价,1.9968,
2018-01-15 19:40:00,,,信息,,,订单发送成功，订单编号： 1
2018-01-15 19:42:00,,,信息,,,订单 1 买入交易已经成功!成交均价： 0.1491047 ，挂单买入： 1.9968 ，买到数量： 13.3651
2018-01-15 19:42:00,,,信息,,,当前买入后可有币数 13.3651 ，持币均价 0.149403 ，持币成本 1.996785
2018-01-15 19:42:00,,,信息,,,当前EMA交叉数 -19 ，持仓量 13.3651 ，币价 0.1540151 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 19:46:00,,,信息,,,准备以大约 0.1245524 的市价买入约 32.06361338681551 个币，当前账户余额为： 48.00321517 。
2018-01-15 19:46:00,Huobi,2,买入,市价,3.9936,
2018-01-15 19:46:00,,,信息,,,订单发送成功，订单编号： 2
2018-01-15 19:48:00,,,信息,,,订单 2 买入交易已经成功!成交均价： 0.1245524 ，挂单买入： 3.9936 ，买到数量： 31.9994
2018-01-15 19:48:00,,,信息,,,当前买入后可有币数 45.3645 ，持币均价 0.132049 ，持币成本 5.990359
2018-01-15 19:53:00,,,信息,,,准备以大约 0.1000001 的市价买入约 59.90394009605991 个币，当前账户余额为： 44.0096419 。
2018-01-15 19:53:00,Huobi,3,买入,市价,5.9904,
2018-01-15 19:53:00,,,信息,,,订单发送成功，订单编号： 3
2018-01-15 19:55:00,,,信息,,,订单 3 买入交易已经成功!成交均价： 0.1000001 ，挂单买入： 5.9904 ，买到数量： 59.784
2018-01-15 19:55:00,,,信息,,,当前买入后可有币数 105.1485 ，持币均价 0.113941 ，持币成本 11.9807
2018-01-15 19:55:00,,,信息,,,死叉内短线浮盈，对现有止盈获得头寸。
2018-01-15 19:55:00,,,信息,,,准备以大约 0.1462711 的市价卖出 16.4319 个币，当前可用币数 105.1485
2018-01-15 19:55:00,Huobi,4,卖出,市价,16.4319,
2018-01-15 19:55:00,,,信息,,,订单发送成功，订单编号： 4
2018-01-15 19:57:00,,,收益,0.526438,,
2018-01-15 19:57:00,,,信息,,,订单 4 交易成功!平均卖出价格： 0.1462711 ，平均持仓价格： 0.113941 ，卖出数量： 16.4319 ，毛收盈： 0.526438 ，累计毛收盈： 0.526438
2018-01-15 19:59:00,,,信息,,,死叉内短线浮盈，对现有止盈获得头寸。
2018-01-15 19:59:00,,,信息,,,准备以大约 0.1616949 的市价卖出 36.3292 个币，当前可用币数 88.7166
2018-01-15 19:59:00,Huobi,5,卖出,市价,36.3292,
2018-01-15 19:59:00,,,信息,,,订单发送成功，订单编号： 5
2018-01-15 20:00:00,,,收益,2.24955,,
2018-01-15 20:00:00,,,信息,,,订单 5 交易成功!平均卖出价格： 0.1616949 ，平均持仓价格： 0.113941 ，卖出数量： 36.3292 ，毛收盈： 1.723112 ，累计毛收盈： 2.24955
2018-01-15 20:00:00,,,信息,,,当前EMA交叉数 -20 ，持仓量 52.3874 ，币价 0.161695 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 20:16:00,,,信息,,,当前EMA交叉数 -20 ，持仓量 52.3874 ，币价 0.1678746 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 20:27:00,,,信息,,,死叉内短线浮盈，对现有止盈获得头寸。
2018-01-15 20:27:00,,,信息,,,准备以大约 0.1720309 的市价卖出 52.3874 个币，当前可用币数 52.3874
2018-01-15 20:27:00,Huobi,6,卖出,市价,52.3874,
2018-01-15 20:27:00,,,信息,,,订单发送成功，订单编号： 6
2018-01-15 20:29:00,,,收益,5.274704,,
2018-01-15 20:29:00,,,信息,,,订单 6 交易成功!平均卖出价格： 0.1720309 ，平均持仓价格： 0.113941 ，卖出数量： 52.3874 ，毛收盈： 3.025154 ，累计毛收盈： 5.274704
2018-01-15 20:32:00,,,信息,,,当前EMA交叉数 -20 ，持仓量 0 ，币价 0.1707917 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 20:48:00,,,信息,,,当前EMA交叉数 -20 ，持仓量 0 ，币价 0.1659658 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 21:04:00,,,信息,,,当前EMA交叉数 -21 ，持仓量 0 ，币价 0.1694185 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 21:23:00,,,信息,,,当前EMA交叉数 -21 ，持仓量 0 ，币价 0.171995 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 21:40:00,,,信息,,,当前EMA交叉数 -21 ，持仓量 0 ，币价 0.1699816 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 21:57:00,,,信息,,,当前EMA交叉数 -21 ，持仓量 0 ，币价 0.173743 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 22:16:00,,,信息,,,当前EMA交叉数 -22 ，持仓量 0 ，币价 0.1728086 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 22:32:00,,,信息,,,当前EMA交叉数 -22 ，持仓量 0 ，币价 0.17209 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 22:48:00,,,信息,,,当前EMA交叉数 -22 ，持仓量 0 ，币价 0.1725406 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 23:04:00,,,信息,,,当前EMA交叉数 -23 ，持仓量 0 ，币价 0.172274 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 23:23:00,,,信息,,,当前EMA交叉数 -23 ，持仓量 0 ，币价 0.17308 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 23:40:00,,,信息,,,当前EMA交叉数 -23 ，持仓量 0 ，币价 0.173113 ，价格没有下跌到买入点，继续观察行情...
2018-01-15 23:57:00,,,信息,,,当前EMA交叉数 -23 ，持仓量 0 ，币价 0.173612 ，价格没有下跌到买入点，继续观察行情...
2018-01-16 00:16:00,,,信息,,,当前EMA交叉数 -24 ，持仓量 0 ，币价 0.1735806 ，价格没有下跌到买入点，继续观察行情...
2018-01-16 00:32:00,,,信息,,,当前EMA交叉数 -24 ，持仓量 0 ，币价 0.1738007 ，价格没有下跌到买入点，继续观察行情...
2018-01-16 00:48:00,,,信息,,,当前EMA交叉数 -24 ，持仓量 0 ，币价 0.17325 ，价格没有下跌到买入点，继续观察行情...
2018-01-16 01:18:32,,,信息,,,当前EMA交叉数 -25 ，持仓量 0 ，币价 0.174561 ，价格没有下跌到买入点，继续观察行情...
2018-01-16 01:34:00,,,信息,,,当前EMA交叉数 -25 ，持仓量 0 ，币价 0.1745595 ，价格没有下跌到买入点，继续观察行情...
2018-01-16 01:53:00,,,信息,,,当前EMA交叉数 -25 ，持仓量 0 ，币价 0.177513 ，价格没有下跌到买入点，继续观察行情...
2018-01-16 02:10:00,,,信息,,,当前EMA交叉数 -26 ，持仓量 0 ，币价 0.1761236 ，价格没有下跌到买入点，继续观察行情...
2018-01-16 02:27:00,,,信息,,,当前EMA交叉数 -26 ，持仓量 0 ，币价 0.175735 ，价格没有下跌到买入点，继续观察行情...
2018-01-16 02:46:00,,,信息,,,当前EMA交叉数 -26 ，持仓量 0 ，币价 0.175846 ，价格没有下跌到买入点，继续观察行情...
2018-01-16 03:02:00,,,信息,,,当前EMA交叉数 -27 ，持仓量 0 ，币价 0.1760755 ，价格没有下跌到买入点，继续观察行情...
2018-01-16 03:18:00,,,信息,,,当前EMA交叉数 -27 ，持仓量 0 ，币价 0.1754246 ，价格没有下跌到买入点，继续观察行情...
2018-01-16 03:34:00,,,信息,,,当前EMA交叉数 -27 ，持仓量 0 ，币价 0.1755525 ，价格没有下跌到买入点，继续观察行情...
2018-01-16 03:53:00,,,信息,,,当前EMA交叉数 -27 ，持仓量 0 ，币价 0.174875 ，价格没有下跌到买入点，继续观察行情...
2018-01-16 04:18:32,,,信息,,,当前EMA交叉数 -28 ，持仓量 0 ，币价 0.176144 ，价格没有下跌到买入点，继续观察行情...
2018-01-16 04:34:00,,,信息,,,当前EMA交叉数 -28 ，持仓量 0 ，币价 0.1760305 ，价格没有下跌到买入点，继续观察行情...
2018-01-16 04:53:00,,,信息,,,当前EMA交叉数 -28 ，持仓量 0 ，币价 0.175446 ，价格没有下跌到买入点，继续观察行情...
2018-01-16 05:10:00,,,信息,,,当前EMA交叉数 -29 ，持仓量 0 ，币价 0.1756833 ，价格没有下跌到买入点，继续观察行情...
2018-01-16 05:27:00,,,信息,,,当前EMA交叉数 -29 ，持仓量 0 ，币价 0.1763105 ，价格没有下跌到买入点，继续观察行情...
2018-01-16 05:46:00,,,信息,,,当前EMA交叉数 -29 ，持仓量 0 ，币价 0.176811 ，价格没有下跌到买入点，继续观察行情...
2018-01-16 06:18:32,,,信息,,,当前EMA交叉数 -30 ，持仓量 0 ，币价 0.176163 ，价格没有下跌到买入点，继续观察行情...
2018-01-16 06:48:32,,,信息,,,当前EMA交叉数 -30 ，持仓量 0 ，币价 0.178345 ，价格没有下跌到买入点，继续观察行情...
2018-01-16 07:18:32,,,信息,,,当前EMA交叉数 -31 ，持仓量 0 ，币价 0.175492 ，价格没有下跌到买入点，继续观察行情...
2018-01-16 07:34:00,,,信息,,,当前EMA交叉数 -31 ，持仓量 0 ，币价 0.1761135 ，价格没有下跌到买入点，继续观察行情...
2018-01-16 07:53:00,,,信息,,,当前EMA交叉数 -31 ，持仓量 0 ，币价 0.174997 ，价格没有下跌到买入点，继续观察行情...
2018-01-16 08:10:00,,,信息,,,当前EMA交叉数 -32 ，持仓量 0 ，币价 0.1750526 ，价格没有下跌到买入点，继续观察行情...
2018-01-16 08:27:00,,,信息,,,当前EMA交叉数 -32 ，持仓量 0 ，币价 0.175959 ，价格没有下跌到买入点，继续观察行情...
2018-01-16 08:46:00,,,信息,,,当前EMA交叉数 -32 ，持仓量 0 ，币价 0.17564 ，价格没有下跌到买入点，继续观察行情...
2018-01-16 09:11:27,,,信息,,,当前EMA交叉数 -33 ，持仓量 0 ，币价 0.176285 ，价格没有下跌到买入点，继续观察行情...
2018-01-16 09:29:00,,,信息,,,当前EMA交叉数 -33 ，持仓量 0 ，币价 0.1718 ，价格没有下跌到买入点，继续观察行情...
2018-01-16 09:59:00,,,信息,,,当前EMA交叉数 -33 ，持仓量 0 ，币价 0.172 ，价格没有下跌到买入点，继续观察行情...
2018-01-16 10:16:00,,,信息,,,当前EMA交叉数 -34 ，持仓量 0 ，币价 0.1708006 ，价格没有下跌到买入点，继续观察行情...
2018-01-16 10:41:27,,,信息,,,当前EMA交叉数 -34 ，持仓量 0 ，币价 0.171122 ，价格没有下跌到买入点，继续观察行情...
2018-01-16 10:59:00,,,信息,,,当前EMA交叉数 -34 ，持仓量 0 ，币价 0.1741 ，价格没有下跌到买入点，继续观察行情...
2018-01-16 11:16:00,,,信息,,,当前EMA交叉数 -35 ，持仓量 0 ，币价 0.176157 ，价格没有下跌到买入点，继续观察行情...
2018-01-16 11:32:00,,,信息,,,当前EMA交叉数 -35 ，持仓量 0 ，币价 0.177195 ，价格没有下跌到买入点，继续观察行情...
2018-01-16 11:48:00,,,信息,,,当前EMA交叉数 -35 ，持仓量 0 ，币价 0.1766336 ，价格没有下跌到买入点，继续观察行情...
2018-01-16 12:04:00,,,信息,,,当前EMA交叉数 -36 ，持仓量 0 ，币价 0.1764825 ，价格没有下跌到买入点，继续观察行情...
2018-01-16 12:23:00,,,信息,,,当前EMA交叉数 -36 ，持仓量 0 ，币价 0.172939 ，价格没有下跌到买入点，继续观察行情...
2018-01-16 12:40:00,,,信息,,,当前EMA交叉数 -36 ，持仓量 0 ，币价 0.174242 ，价格没有下跌到买入点，继续观察行情...
2018-01-16 12:57:00,,,信息,,,当前EMA交叉数 -36 ，持仓量 0 ，币价 0.175631 ，价格没有下跌到买入点，继续观察行情...
